concept_code,concept_name,stock_count,avg_rank
884059.TI,玻璃玻纤,3,264.6666666666667
884315.TI,通信应用增值服务,3,267.6666666666667
884003.TI,其他种植业,3,278.0
884227.TI,集成电路制造,3,278.6666666666667
885916.TI,同花顺漂亮100,3,294.0
885910.TI,拼多多概念,3,302.3333333333333
885598.TI,新股与次新股,3,313.3333333333333
885905.TI,注册制次新股,3,313.3333333333333
885995.TI,粮食概念,3,319.6666666666667
886012.TI,宠物经济,3,322.6666666666667
885333.TI,移动支付,3,329.6666666666667
885904.TI,代糖概念,3,334.0
884152.TI,燃气Ⅲ,2,79.0
885943.TI,EDR概念,2,79.0
886034.TI,数字水印,2,93.5
885913.TI,医美概念,2,98.5
885899.TI,新型烟草(电子烟),2,117.5
884268.TI,水务及水治理,2,147.5
886040.TI,MLOps概念,2,147.5
884306.TI,光伏加工设备,2,154.0
884288.TI,模拟芯片设计,2,159.0
885780.TI,啤酒概念,2,159.0
884308.TI,风电零部件,2,165.0
885843.TI,华为海思概念股,2,169.0
884214.TI,冶钢原料,2,186.0
885912.TI,有机硅概念,2,187.5
884208.TI,综合Ⅲ,2,188.5
886028.TI,血氧仪,2,188.5
885740.TI,化债概念(AMC概念),2,192.5
884221.TI,其他自动化设备,2,193.0
884296.TI,横向通用软件,2,193.5
885856.TI,仿制药一致性评价,2,194.5
885879.TI,流感,2,194.5
884024.TI,无机盐,2,195.0
885772.TI,语音技术,2,198.0
884116.TI,家电零部件,2,199.0
885981.TI,家庭医生,2,203.0
884199.TI,医药流通,2,207.5
885758.TI,租售同权,2,207.5
885960.TI,民爆概念,2,209.0
884294.TI,安防设备,2,220.0
884191.TI,航运,2,221.0
885988.TI,统一大市场,2,226.0
886017.TI,Web3.0,2,227.0
884220.TI,激光设备,2,231.0
884020.TI,石油加工,2,238.0
885827.TI,横琴新区,2,250.0
884067.TI,基础建设,2,252.0
884192.TI,仪器仪表,2,265.0
885844.TI,国产操作系统,2,265.5
885861.TI,ETC,2,271.5
884257.TI,专业服务,2,277.5
885902.TI,汽车拆解概念,2,281.5
884281.TI,煤化工,2,293.0
885811.TI,玉米,2,295.0
884027.TI,磷肥及磷化工,2,296.0
885578.TI,基因测序,2,308.0
886039.TI,ERP概念,2,315.5
885881.TI,云办公,2,322.0
884025.TI,其他化学原料,2,327.0
885860.TI,中船系,2,342.0
886026.TI,POE胶膜,2,372.5
885493.TI,上海国企改革,2,377.0
884150.TI,新能源发电,2,387.5
884219.TI,工控设备,1,2.0
884271.TI,个护用品,1,14.0
884004.TI,林业,1,16.0
885490.TI,民营医院,1,16.0
884023.TI,氯碱,1,17.0
884146.TI,火电,1,39.0
885753.TI,网约车,1,42.0
884240.TI,其他生物制品,1,46.0
884178.TI,广告营销,1,71.0
885933.TI,NFT概念,1,71.0
885994.TI,猴痘概念,1,77.0
884021.TI,油品石化贸易,1,84.0
884264.TI,通信终端及配件,1,89.0
884183.TI,航海装备,1,93.0
884307.TI,风电整机,1,110.0
884137.TI,家纺,1,112.0
884184.TI,特钢,1,118.0
884128.TI,棉纺,1,121.0
885968.TI,托育服务,1,121.0
884207.TI,其他计算机设备,1,140.0
884142.TI,文娱用品,1,141.0
885749.TI,蚂蚁集团概念,1,146.0
885977.TI,国资云,1,147.0
885814.TI,信托概念,1,150.0
885852.TI,青蒿素,1,150.0
885953.TI,电子纸,1,158.0
884144.TI,化学制剂,1,166.0
885591.TI,中韩自贸区,1,171.0
884132.TI,其他纺织,1,173.0
886005.TI,生物质能发电,1,177.0
884285.TI,镍,1,180.0
884073.TI,制冷空调设备,1,184.0
885825.TI,冰雪产业,1,184.0
885818.TI,工业大麻,1,185.0
884246.TI,电能综合服务,1,190.0
884160.TI,百货零售,1,197.0
885898.TI,免税店,1,197.0
884033.TI,纺织化学用品,1,201.0
885633.TI,染料,1,201.0
884094.TI,面板,1,207.0
884212.TI,合成树脂,1,209.0
884228.TI,集成电路封测,1,211.0
884014.TI,煤炭开采,1,221.0
884197.TI,中药Ⅲ,1,223.0
885845.TI,生物疫苗,1,223.0
885989.TI,肝炎概念,1,223.0
884305.TI,光伏辅材,1,231.0
885457.TI,手机游戏,1,237.0
884077.TI,工程机械Ⅲ,1,239.0
885587.TI,举牌,1,239.0
886047.TI,脑机接口,1,240.0
885901.TI,可降解塑料,1,241.0
884039.TI,聚氨酯,1,242.0
885734.TI,广东自贸区,1,245.0
884201.TI,物流Ⅲ,1,255.0
885781.TI,石墨电极,1,260.0
886023.TI,数据确权,1,261.0
884013.TI,动物保健,1,263.0
885508.TI,禽流感,1,263.0
885846.TI,动物疫苗,1,263.0
884001.TI,种子生产,1,273.0
885877.TI,转基因,1,273.0
885966.TI,跨境支付(CIPS),1,277.0
885525.TI,白酒概念,1,287.0
